,SMA,Month_,Date_,Day_,Post,Post Format,Impressions,Click-Through-Rate,Retweets/Shares,Likes,Video Views,Link Clicks,Detail Expands,Hashtag Clicks,User Profile Clicks,Media Engagements,Total Engagements,Engagements,Follows,Replies,Post/Tweet Length,Account
12,Twitter,January,2020-01-08,Wednesday,"As we venture into a new decade, here's a glimpse into how we helped our clients existing architecture scale and deliver features in a fast, predictable and reliable fashion: https://t.co/7WfFHD1weW

#Microservices #Business #AppDevelopment #SoftwareEngineering #Consulting https://t.co/zk8inb7ZKe",Video,297,0.0,265.0,0.0,1.0,30,0.0,2.0,0.0,0.0,2,45.0,15.0,,,LinkedIn
13,LinkedIn,January,2020-01-08,Wednesday,"As we venture into a new decade, here's a glimpse into how we helped our clients existing architecture scale and deliver features in a fast, predictable and reliable manner: http://bit.ly/2P2eN07

#Microservices #Business #AppDevelopment #SoftwareEngineering #Consulting",Video,1532,0.0098,1.0,7.0,392.0,15,,,,,415,0.0,,,270.0,Twitter
14,Facebook,January,2020-01-08,Wednesday,"As we venture into a new decade, here's a glimpse into how we helped our clients existing architecture scale and deliver features in a fast, predictable and reliable manner: http://bit.ly/2P2eN07",Video,39,0.0256,0.0,0.0,7.0,1,,,,,8,1.0,,,195.0,Twitter
15,Twitter,January,2020-01-09,Thursday,Fun with @Google Assistant at #CES2020 https://t.co/ZrsGoQHsrJ,Video,62,0.0,773.0,1.0,2.0,92,0.0,0.0,0.0,0.0,12,99.0,7.0,,,LinkedIn
16,Twitter,January,2020-01-09,Thursday,"Hello from #CES2020, where we are checking out new technologies and innovations ðŸ‘‹ https://t.co/RyzsBEGs09",Video,108,0.0,759.0,1.0,1.0,133,0.0,0.0,0.0,0.0,12,148.0,15.0,,,LinkedIn
17,Twitter,January,2020-01-09,Thursday,Irena from our Sales team explores the show floor. #CES2020 https://t.co/dWvHpXv7gY,Image,83,0.0,570.0,0.0,2.0,10,0.0,0.0,0.0,2.0,10,27.0,17.0,,,LinkedIn
18,Twitter,January,2020-01-09,Thursday,Thereâ€™s been a lot to see at #CES2020! ðŸ™Œ https://t.co/4qYhVqfX0q,Image,69,0.0,422.0,1.0,1.0,4,0.0,0.0,0.0,1.0,4,7.0,3.0,,,LinkedIn
19,Twitter,January,2020-01-09,Thursday,"#Microservices migration case study: Find out how we helped one of Asia's leading low-cost airlines go from overloaded systems to an auto-scaling environment that now handles 10-40 million requests per day. https://t.co/Xx8yG4cKR8

#SoftwareDevelopment #Kubernetes #Technology https://t.co/ZkhEVZ3rMX",Graphic,300,0.0008,13283.0,0.0,5.0,42,11.0,120.0,20.0,43.0,42,44.0,2.0,,,LinkedIn
20,Twitter,January,2020-01-09,Thursday,"How can Kubernetes prove pertinent for an effective Microservices Architecture? Insightful article! https://t.co/NLiJQhpXgW

#Microservices #Software #SoftwareDevelopment #Bussiness #Kubernetes #Technology",Article,205,0.0039,257.0,0.0,2.0,0,1.0,0.0,0.0,0.0,0,242.0,242.0,,,Facebook
21,LinkedIn,January,2020-01-09,Thursday,"Microservices migration case study: Find out how we helped one of Asia's leading low-cost airlines go from overloaded systems to an auto-scaling environment that now handles 10-40 million requests per day. 

#Microservices #Software #SoftwareDevelopment #Bussiness #Kubernetes #Technology",Graphic,3560,0.0059,0.0,1.0,0.0,21,,,,,22,0.0,,,288.0,Twitter
22,LinkedIn,January,2020-01-09,Thursday,"Happy New Year and hello from CES, where we're checking out new technologies and innovations ??

#ces #ces2020 #newtechnologies #innovations",Video,1331,0.0098,0.0,5.0,311.0,13,,,,,329,0.0,,,140.0,Twitter
23,LinkedIn,September,2020-01-09,Tuesday,"CTOs should look to the COVID-19 pandemic as a learning opportunity to always prioritize technology investments that ensure employee safety and business continuity. 
 
 Also, to identify which technologies, products, trends, and/or services are going to succeed in the post-COVID world and place their money wisely so they can prepare to thrive. How do you lead an organization through disruptive crises as a CTO? 
 
 #leadership #CTOs #investment #technology #business #strategy #product",Article,601,0.0117,0.0,28.0,,7,,,,,38,,,3.0,488.0,Twitter
24,Facebook,January,2020-01-09,Thursday,Microservices migration case study: Find out how we helped one of Asia's leading low-cost airlines go from overloaded systems to an auto-scaling environment that now handles 10-40 million requests per day. http://bit.ly/36ieuT5,Graphic,1262,0.019,0.0,0.0,0.0,24,,,,,33,33.0,,,227.0,Twitter
25,Facebook,January,2020-01-09,Thursday,Hello from CES in Las Vegas! #CES2020,Video,35,0.0571,0.0,0.0,11.0,2,,,,,13,2.0,,,37.0,Twitter
26,Facebook,January,2020-01-09,Thursday,We’re excited to be at CES this week. There sure has been a lot to see! #CES2020,Image,53,0.1698,0.0,0.0,0.0,9,,,,,6,6.0,,,80.0,Twitter
27,Twitter,January,2020-01-10,Friday,"Productivity to an #engineeringmanager is not about increasing the volume of work but about closing the communication gap between technical and non-technical sides of the organization. Great insight! https://t.co/AYQByYLmmX

#Engineering #Leadership #Growth #EngineeringTeams",Article,275,0.0069,292.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,2.0,2.0,,,LinkedIn
28,LinkedIn,January,2020-01-10,Friday,"Productivity to an engineering manager is not about increasing the volume of work but about closing the communication gap between technical and non-technical sides of the organization. Great insight! 

#EngineeringManagers #Engineering #Leadership #Scaling #Growth #EngineeringTeams",Article,722,0.0111,1.0,7.0,0.0,8,,,,,16,0.0,,,282.0,Twitter
29,Twitter,January,2020-01-13,Monday,"With Lohika's groundbreaking Team Extensionâ„¢ model, you won't know where your team ends and where ours begins. Learn more on how we can support your business goals: https://t.co/Njou8H36md

#TeamExtension #SoftwareEngineering #Software #Technology #Engineering #Consulting",Article,274,0.0023,11979.0,0.0,1.0,0,27.0,104.0,4.0,14.0,0,150.0,150.0,,,LinkedIn
30,LinkedIn,January,2020-01-13,Monday,"With Lohika's groundbreaking Team Extension™ model, you won't know where your team ends and where ours begins. Learn more on how we can support your business goals: 

#TeamExtension #SoftwareEngineering #Software #Technology #Engineering #Consulting",Article,4530,0.0062,2.0,6.0,0.0,28,,,,,36,0.0,,,249.0,Twitter
31,Twitter,January,2020-01-14,Tuesday,VPs of #Engineering and #CTOs have one overarching goal: to build and retain a high-performance team that can deliver quality products on time. Here's a look at how some of the top #engineeringleaders in the business approach this task. https://t.co/58Gkn7pQ5k,Article,260,0.0069,288.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,2.0,2.0,,,LinkedIn
32,LinkedIn,January,2020-01-14,Tuesday,"VPs of Engineering and CTOs have one overarching goal: to build and retain a high-performance team that can deliver quality products on time. Here's a look at how some of the top engineering leaders in the business approach this task. 

#Leadership #EngineeringLeaders #Strategy #Management #Startup",Article,743,0.0135,0.0,5.0,0.0,10,,,,,15,0.0,,,299.0,Twitter
33,Twitter,January,2020-01-15,Wednesday,"Our groundbreaking Team Extensionâ„¢ engagement model has been built, refined, and perfected over the last 15+ years. Find out more on exactly how this model can support your business goals: https://t.co/Njou8H36md 

#SoftwareEngineering #Technology #Engineering #Consulting https://t.co/dHnhLTfHu5",Video,298,0.0,14393.0,0.0,3.0,6289,0.0,36.0,5.0,3.0,0,6336.0,47.0,,,LinkedIn
34,LinkedIn,January,2020-01-15,Wednesday,"Our groundbreaking Team Extension™ engagement model has been built, refined, and perfected over the last 15+ years. Find out more on exactly how this model can support your business goals: http://bit.ly/2GFnq9Y 

#TeamExtension #SoftwareEngineering #Software #Technology #Engineering #Consulting",Video,5357,0.0054,0.0,3.0,2303.0,29,,,,,2335,0.0,,,295.0,Twitter
35,Facebook,January,2020-01-15,Wednesday,"Our groundbreaking Team Extension™ engagement model has been built, refined, and perfected over the last 15+ years. Find out more on exactly how this model can support your business goals: http://bit.ly/2GFnq9Y",Video,34,0.0588,0.0,0.0,7.0,2,,,,,8,1.0,,,210.0,Twitter
36,Twitter,January,2020-01-16,Thursday,"Our U.S. team had a fabulous off-site on Wednesday ðŸ™Œ

Improv workshop in the afternoon, quick stop in @salesforce East, then a great Mediterranean meal at Barcha.

Weâ€™re ready to make 2020 the best year ever! https://t.co/IKfOQBV4XY",Video,237,0.0,376.0,0.0,4.0,24,0.0,4.0,0.0,1.0,24,57.0,33.0,,,LinkedIn
37,Twitter,January,2020-01-16,Thursday,"With our Team Extensionâ„¢ model, we match our operations to your engineering culture, processes, and ways of working. Find out more: https://t.co/Njou8H36md 

#TeamExtension #SoftwareEngineering #Software #Technology #Engineering https://t.co/v7uFb9GshZ",Graphic,254,0.0,221.0,0.0,1.0,1,0.0,0.0,0.0,2.0,1,5.0,4.0,,,LinkedIn
38,Facebook,January,2020-01-16,Thursday,"With our Team Extension™ model, we match our operations to your engineering culture, processes, and ways of working. Find out more: http://bit.ly/2GFnq9Y",Graphic,34,0.0,0.0,0.0,0.0,0,,,,,0,0.0,,,153.0,Facebook
39,LinkedIn,January,2020-01-16,Thursday,"With our Team Extension™ model, we match our operations to your engineering culture, processes, and ways of working. Find out more: http://bit.ly/2GFnq9Y 

#TeamExtension #SoftwareEngineering #Software #Technology #Engineering",Graphic,1101,0.0073,0.0,5.0,0.0,8,,,,,13,0.0,,,226.0,Twitter
40,Twitter,January,2020-01-16,Thursday,"While dealing with ever-changing requirements and product specifications, how do you ensure to get the right product while also keeping the #engineering team feeling productive? https://t.co/wNpi8EUWY2

#SoftwareDevelopment #EngineeringManagement #ProductDev #SoftwareEngineering",Article,279,0.0091,221.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,2.0,2.0,,,LinkedIn
41,LinkedIn,January,2020-01-16,Thursday,"While dealing with ever-changing requirements and product specifications, how do you ensure to get the right product while also keeping the engineering team feeling productive? 

#SoftwareDevelopment #EngineeringManagement #ProductDevelopment #QA #SoftwareEngineering",Article,791,0.0152,1.0,5.0,0.0,12,,,,,18,0.0,,,267.0,Twitter
42,Facebook,January,2020-01-16,Thursday,Our U.S. team had an off-site on Wednesday: ?? Improv workshop ?? Quick stop at Salesforce East ?? Fantastic dinner at Barcha The result? We’re ready to make 2020 the best year ever ??,Image,227,0.1762,0.0,0.0,0.0,40,,,,,35,35.0,,,184.0,Twitter
43,LinkedIn,January,2020-01-17,Friday,"Our U.S. team had an off-site on Wednesday:

?? Improv workshop
?? Quick stop at Salesforce East
?? Fantastic dinner at Barcha

The result? We’re ready to make 2020 the best year ever ??",Video,913,0.0175,0.0,4.0,279.0,16,,,,,299,0.0,,,186.0,Twitter
44,Twitter,January,2020-01-20,Monday,"From extensive financial calculations to integration of 3rd-party payment systems, you can rely on Lohika to rapidly scale your #engineering capacity and accelerate your feature development. Find out how we can help. https://t.co/LQPiRLOAH8

#Fintech #Technology #Software https://t.co/yEfHWgS1ri",Article,296,0.0015,8466.0,0.0,1.0,55,13.0,59.0,34.0,27.0,55,244.0,189.0,,,LinkedIn
45,LinkedIn,January,2020-01-20,Monday,"From extensive financial calculations to integration of 3rd-party payment systems, you can rely on Lohika to rapidly scale your engineering capacity and accelerate your feature development. Find out how we can help. 

#Fintech #Outsourcing #Technology #Software #Collaboration #Engineering",Article,4626,0.0056,0.0,3.0,0.0,26,,,,,29,0.0,,,289.0,Twitter
46,Twitter,January,2020-01-21,Tuesday,"Great insight by @skamille on how to scale and grow as an engineering manager. https://t.co/82sPJdW77z

#EngineeringManagers #Engineering #Leadership #Scaling #Growth",Article,166,0.0,182.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0,1.0,1.0,,,LinkedIn
47,LinkedIn,January,2020-01-21,Tuesday,"Great insight by Camille Fournier on how to scale and grow as an engineering manager. 

#EngineeringManagers #Engineering #Leadership #Scaling #Growth",Article,610,0.0131,1.0,4.0,0.0,8,,,,,13,0.0,,,150.0,Twitter
48,Facebook,January,2020-01-22,Wednesday,Find out more on our #fintech experience working on one of the safest and most trusted online #cryptocurrency exchange platforms: http://bit.ly/30g36D0,Video,31,0.0323,0.0,0.0,7.0,1,,,,,9,2.0,,,151.0,Twitter
49,Twitter,January,2020-01-23,Thursday,"Finding, hiring, and retaining strong #engineers is crucial to building a successful #tech company. These inspiring #engineering and #product leaders share insightful thoughts on best practices for hiring engineers. https://t.co/llyqB6FzRn

#Leadership #Scaling #Growth",Article,269,0.0,184.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,1.0,,,LinkedIn
50,Twitter,January,2020-01-23,Thursday,"Working on a #Fintech project this year? https://t.co/6Lm8CwcwCs 

#DigitalTransformation #ProductDevelopment #SoftwareEngineering #Innovation #Engineering #Software https://t.co/VY2u7XQnFx",Graphic,189,0.0016,13549.0,2.0,5.0,91,21.0,103.0,64.0,24.0,91,401.0,310.0,,,Facebook
51,LinkedIn,January,2020-01-23,Thursday,"Working on a #Fintech project this year? http://bit.ly/2GrkLAG 

#DigitalTransformation #ProductDevelopment #SoftwareEngineering #Innovation #Engineering #Software",Graphic,3768,0.0058,0.0,2.0,0.0,22,,,,,24,0.0,,,163.0,Twitter
52,LinkedIn,January,2020-01-23,Thursday,"Finding, hiring, and retaining strong engineers is crucial to building a successful tech company. These inspiring engineering and product leaders share insightful thoughts on best practices for hiring engineers.

#Leadership #EngineeringManagers #Engineering #Scaling #Growth",Article,565,0.0159,0.0,6.0,0.0,9,,,,,15,0.0,,,275.0,Twitter
53,Facebook,January,2020-01-23,Thursday,Working on a #Fintech project this year? http://bit.ly/2GrkLAG,Graphic,1106,0.0235,0.0,0.0,0.0,26,,,,,25,25.0,,,62.0,Twitter
54,Twitter,January,2020-01-24,Friday,"Insightful thoughts by Mark Cunningham on how important emotional intelligence is to building a healthy engineering culture. https://t.co/JMuMrnsdeC

#Engineering #Leadership #Engineers #SoftwareEngineering #Growth #Culture https://t.co/cBq4gV5kEr",Article,247,0.0183,164.0,1.0,1.0,4,3.0,0.0,0.0,0.0,4,13.0,9.0,,,LinkedIn
55,LinkedIn,January,2020-01-24,Friday,"Insightful thoughts by Mark Cunningham on how important emotional intelligence is to building a healthy engineering culture. 

#Engineering #Leadership #Engineers #SoftwareEngineering #Growth #Culture",Article,967,0.0228,0.0,4.0,0.0,22,,,,,26,0.0,,,200.0,Twitter
56,Twitter,January,2020-01-27,Monday,"From #dataprotection to #cybersecurity, you can rely on Lohika to deliver complex feature development while ensuring that your #product or platform is compliant with all relevant #security standards. https://t.co/uoCpuxVA8q

#DataPrivacy #Engineering #SoftwareEngineering https://t.co/vWpW2c4xjT",Article,295,0.0023,6634.0,1.0,0.0,39,15.0,28.0,67.0,23.0,39,212.0,173.0,,,LinkedIn
57,LinkedIn,January,2020-01-27,Monday,"From data protection to cybersecurity, you can rely on Lohika to deliver complex feature development while ensuring that your product or platform is compliant with all relevant security standards. https://bit.ly/2FTKPE0

#Security #DataPrivacy #CyberSecurity #Engineering #DataProtection #Product #SoftwareEngineering",Article,2306,0.0078,1.0,6.0,0.0,18,,,,,25,0.0,,,317.0,Twitter
58,Twitter,January,2020-01-28,Tuesday,"One of the changes when becoming an executive is that youâ€™re no longer constrained by others holding you to their standards, but instead have to hold yourself to the standard. @Lethain shares some incredible best practices for starting as a CTO or VPE. https://t.co/Sm76HqncQS https://t.co/CCsM8SpKrS",Article,302,0.0,147.0,0.0,0.0,3,0.0,0.0,0.0,1.0,3,7.0,4.0,,,LinkedIn
59,LinkedIn,January,2020-01-28,Tuesday,"One of the changes when becoming an executive is that you’re no longer constrained by others holding you to their standards, but instead have to hold yourself to the standard. Will Larson shares an incredible set of tactical best practices for starting as a CTO or VP of Engineering. 

#Engineering #Management #Leadership #VPEs #CTOs #Growth #EngineeringLeadership",Article,458,0.0218,1.0,4.0,0.0,10,,,,,15,0.0,,,365.0,Twitter
60,Twitter,January,2020-01-29,Wednesday,"Ensuring data privacy as well as meeting security standards and regulations is paramount in the cybersecurity space. Here's our experience working on one of the top #cybersecurity platforms: https://t.co/aYqNVrCQGN

#Microservices #CloudMigration #SoftwareEngineering #Technology https://t.co/dlL6zXGvo8",Video,303,0.0002,6467.0,0.0,1.0,2780,1.0,23.0,0.0,5.0,4,2814.0,34.0,,,LinkedIn
61,LinkedIn,January,2020-01-29,Wednesday,"Ensuring data privacy as well as meeting security standards and regulations is paramount in the cybersecurity space. Here's our experience working on one of the top #cybersecurity platforms: http://bit.ly/2mAso16

#Microservices #CloudMigration #SoftwareEngineering #Technology",Video,2755,0.0036,0.0,4.0,1068.0,10,,,,,1082,0.0,,,277.0,Facebook
62,Facebook,January,2020-01-29,Wednesday,Ensuring data privacy as well as meeting security standards and regulations is paramount in the cybersecurity space. Here's our experience working on one of the top #cybersecurity platforms: http://bit.ly/2mAso16,Video,15006,0.0163,0.0,0.0,4689.0,245,,,,,4935,246.0,,,212.0,Twitter
63,Twitter,January,2020-01-30,Thursday,"Our partnership with a #cybersecurity company had the Lohika team involved in all stages of #microservices migration: https://t.co/aYqNVrCQGN 

#CyberTech #SoftwareEngineering #ProductDevelopment #Security #Technology https://t.co/ebAnLsdB3G",Article,241,0.0,345.0,4.0,1.0,0,0.0,4.0,0.0,0.0,0,9.0,9.0,,,LinkedIn
64,Facebook,January,2020-01-30,Thursday,Our partnership with a #cybersecurity company had the Lohika team involved in all stages of #microservices migration: http://bit.ly/2mAso16,Graphic,34,0.0,0.0,0.0,0.0,0,,,,,0,0.0,,,139.0,Facebook
65,Twitter,January,2020-01-30,Thursday,"What makes #distributedteams different is intention and advanced planning. #Remote #teamwork doesnâ€™t happen by accident, but through deliberate systems and practices around these six core values. @buritica &amp; @katie_womers share some amazing insights. https://t.co/vzkf9mTI9N",Article,280,0.0047,1714.0,2.0,2.0,0,8.0,0.0,0.0,4.0,0,16.0,16.0,,,LinkedIn
66,LinkedIn,January,2020-01-30,Thursday,"Our partnership with a #cybersecurity company had the Lohika team involved in all stages of #microservices migration: http://bit.ly/2mAso16 

#CyberTech #SoftwareEngineering #ProductDevelopment #Security #Technology",Article,556,0.0108,0.0,6.0,0.0,6,,,,,12,0.0,,,215.0,Twitter
67,Twitter,January,2020-01-31,Friday,"As the world continues to become increasingly connected, here's what will be top of the agenda when it comes to cybersecurity in 2020. https://t.co/YLGzAbfEJW #AI #Cybersecurity #Technology #Innovation #Security #DigitalTransformation",Article,235,0.0,184.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0,2.0,2.0,,,LinkedIn
68,LinkedIn,January,2020-01-31,Friday,"As the world continues to become increasingly connected, here's what will be top of the agenda when it comes to cybersecurity in 2020. 

#AI #Cybersecurity #Technology #Innovation #Security #DigitalTransformation",Article,321,0.0062,0.0,2.0,0.0,2,,,,,4,0.0,,,212.0,Twitter
69,Twitter,February,2020-02-03,Monday,"From architecture design to security testing &amp; compliance verification, we helped our client create a cashless payment solution that aimed to increase the involvement and retention of existing customers. This is how we did it. https://t.co/dmsXCqMl4c

#Fintech #Lohika #Technology https://t.co/nk5IZS51Aa",Article,308,0.0012,9290.0,1.0,0.0,34,11.0,1.0,0.0,0.0,0,197.0,163.0,,,LinkedIn
70,LinkedIn,February,2020-02-03,Friday,"From architecture design to security testing and compliance verification, Lohika was involved in all stages of the development process. We helped our client create a cashless payment solution that aimed to increase the involvement and retention of existing customers. This is how we did it. http://bit.ly/2OM8QSU

#Fintech #Lohika #Technology #DigitalTransformation #SoftwareDevelopment #Software #Microservices",Article,3402,0.0068,0.0,1.0,0.0,23,,,,,24,0.0,,,411.0,Twitter
71,Twitter,February,2020-02-04,Tuesday,"How is it possible to manage a remote team with 20+ developers? Great insight! https://t.co/KTd37067gr

#Remote #EngineeringMangement #Hiring #Engineers #EngineeringLeadership #Developers",Article,187,0.0053,375.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,3.0,3.0,,,LinkedIn
72,LinkedIn,April,2020-02-04,Thursday,"While traditional outsourcing vendors seek the comfort of peripheral engineering tasks, our core development model ensures your expectations and outcomes are always the same. 

In light of all that has, and is happening, reach out to our team at Lohika and find out how we can continue to help your company scale. https://lnkd.in/gEWdzMP

#Startup #VPEngineering #EngineeringMangement #Leadership #Engineering",Video,1391,0.0079,0.0,9.0,289.0,11,,,,,309,,,,409.0,Twitter
73,LinkedIn,February,2020-02-04,Friday,"How is it possible to manage a remote team with 20+ developers? Fabiano Beselga Senior Full Stack Software Engineer at Shore GmbH shares some great insights! 

#Remote #EngineeringMangement #Hiring #Engineers #EngineeringLeadership #Developers",Article,873,0.0172,0.0,6.0,0.0,15,,,,,21,0.0,,,243.0,Twitter
74,LinkedIn,April,2020-02-04,Thursday,"Congrats to our client Okta, Inc. on Oktane20, a fabulous online event.

Two days of keynotes, sessions and attendee networking, enjoyed by several members of our team: Irena Stetska, Tom Scopazzi, Cindy-Anne Lewis, Thelema Dietler and others.

A conference-like experience from our browsers.

Bravo! ??

#oktane20 #okta #virtualconference ",Image,1319,0.0205,1.0,5.0,0.0,27,,,,,33,,,,340.0,Twitter
75,Twitter,February,2020-02-05,Wednesday,"Your underlying distributed solutions run in the cloud where unpredictable things can happen! Here's our experience working on a #cloudcommunications platform: https://t.co/SFYxFdYCes 

#SoftwareEngineering #CloudNative #ProductDevelopment #Technology #Cloud #Software https://t.co/LOesIoACtE",Video,292,0.0,383.0,0.0,1.0,24,0.0,65.0,40.0,24.0,30,25.0,1.0,,,LinkedIn
76,Facebook,February,2020-02-05,Wednesday,Your underlying distributed solutions run in the cloud where unpredictable things can happen! Here's our experience working on a #cloudcommunications platform: http://bit.ly/2oVioAt,Video,35,0.0,0.0,0.0,6.0,0,,,,,6,0.0,,,181.0,Facebook
77,LinkedIn,February,2020-02-05,Thursday,"Your underlying distributed solutions run in the cloud where unpredictable things can happen! Here's our experience working on a #cloudcommunications platform: http://bit.ly/2oVioAt 

#SoftwareEngineering #CloudNative #ProductDevelopment #Technology #Cloud #Software",Video,1443,0.0076,0.0,5.0,275.0,11,,,,,291,0.0,,,266.0,Twitter
78,Twitter,February,2020-02-06,Thursday,"Collaborate with Lohika to launch your company's next unique #cloud #communication and collaboration platform. https://t.co/696azS0yYY

#CloudNative #SoftwareEngineering #Software #Collaboration #Technology https://t.co/PuAtgHxEY5",Graphic,230,0.0009,11087.0,1.0,0.0,30,10.0,3.0,0.0,1.0,3,200.0,170.0,,,LinkedIn
79,LinkedIn,February,2020-02-06,Wednesday,"Collaborate with Lohika to launch your company's next unique #cloud #communication and collaboration platform. http://bit.ly/2nnAmuJ

#CloudNative #SoftwareEngineering #Software #Collaboration #Technology",Graphic,2644,0.0034,0.0,7.0,0.0,9,,,,,16,0.0,,,204.0,Facebook
80,Facebook,February,2020-02-06,Thursday,Collaborate with Lohika to launch your company's next unique #cloud #communication and collaboration platform. http://bit.ly/2nnAmuJ,Graphic,1140,0.0246,0.0,0.0,0.0,28,,,,,31,31.0,,,132.0,Twitter
81,Twitter,February,2020-02-07,Friday,"VP of Product at PagerDuty, @rachel_obstler, shares her insights on building #collaboration between #engineering and #product teams, and how it helps companies thrive on different levels.@edmondlau https://t.co/sMMMczHdmF

#ProductDevelopment #EngineeringTeams https://t.co/9aOYXl0Qha",Article,284,0.002,495.0,1.0,1.0,3,1.0,113.0,6.0,22.0,0,13.0,10.0,,,LinkedIn
82,LinkedIn,February,2020-02-07,Tuesday,"Rachel Obstler, VP of Product at PagerDuty, shares her insights on building collaboration between engineering and product teams, and how it helps companies thrive on different levels. 

#Engineering #Onboarding #Growth #Startups #Hiring #Leadership",Article,721,0.0056,0.0,3.0,0.0,4,,,,,7,0.0,,,248.0,Twitter
